업종,상호,주소,lon,lat
골프연습장,그린골프 ," 광양시 구마10길 3-15, 지하1층 (성황동)",127.68324,34.947723
골프연습장,태광 스크린골프(연습장), 광양시 김시식지1길 10 (태인동),127.757251,34.947713
골프연습장,옥포수상골프랜드, 광양시 옥곡면 장동길 55-9,127.706802,34.981281
골프연습장,광양그린골프연습장, 광양시 금영로 31 (광영동),127.726097,34.959447
당구장,명당구장, 광양시 진등1길 3 (중동),127.688486,34.950125
당구장,큐당구클럽," 광양시 진등1길 12, 301호 (중동)",127.689626,34.949867
당구장,큐박스, 광양시 진등1길 15-9 (중동),127.689887,34.9504
당구장,진당구장," 광양시 오류로 46, 상가1동 204호 (중동)",127.695433,34.942814
당구장,옥주 당구장, 광양시 중동로 104 (중동),127.69983,34.941013
당구장,뉴로체당구장, 광양시 중동로 93 (중동),127.698898,34.941399
당구장,케롬 카페 빌리어드," 광양시 중마로 227, 3층 (중동)",127.688878,34.945105
당구장,백제당구장, 광양시 중마로 277-1  (중동),127.69149,34.949124
당구장,하이당구클럽," 광양시 중마로 542, 2층 (중동)",127.700909,34.936193
당구장,그랜드당구장, 광양시 중마중앙로 55 (중동),127.697716,34.935148
당구장,뉴대호당구장," 광양시 광영로 120, 3층 (광영동)",127.716554,34.964095
당구장,한게임당구클럽," 광양시 광영로 144, 2층 (광영동)",127.7169,34.965538
당구장,해성당구클럽," 광양시 광영로 98, 2층 (광영동)",127.718529,34.962928
당구장,에스 당구클럽," 광양시 광포로 34, 2층 (광영동)",127.723087,34.962343
당구장,당구의 신," 광양시 광포로 47, 1층 (광영동)",127.722196,34.963378
당구장,이스터당구장," 광양시 금영로 153, 3층 (광영동)",127.719444,34.964381
당구장,, 광양시 금영로 181 (광영동),127.718103,34.966046
당구장,MIN 당구클럽," 광양시 영수길 88, 2층 (광영동)",127.71723,34.965178
당구장,당돌이 당구클럽," 광양시 광영로 110, 3층 (광영동)",127.717421,34.963592
당구장,청솔 당구장," 광양시 공영로 88, 2층 (중동)",127.698875,34.935656
당구장,호반당구장," 광양시 광장로 144, 3층 (중동, 신영빌딩)",127.695291,34.936783
당구장,강남큐당구장," 광양시 길호1길 18, 2층 (중동)",127.696833,34.931252
당구장,준 당구클럽," 광양시 길호2길 12, 2층 (중동)",127.696897,34.931631
당구장,일월성당구장, 광양시 길호5길 6 (중동),127.698977,34.931537
당구장,OK 당구장," 광양시 발섬3길 5, 2층 (중동)",127.699067,34.933962
당구장,Boss 당구장," 광양시 발섬4길 17-8, 1층 (중동)",127.700718,34.934624
당구장,발섬당구장," 광양시 발섬길 30, 2층 (중동)",127.698835,34.934502
당구장,멘토르당구장," 광양시 발섬길 39, 1,2층 (중동)",127.698602,34.935313
당구장,뉴Q대를넘어서," 광양시 불로로 79, 3층 (중동)",127.687905,34.944526
당구장,달인당구카폐," 광양시 불로로 86-1, 1층 (중동)",127.68863,34.944104
당구장,신스마일당구장, 광양시 사동로 59 (중동),127.686811,34.944532
당구장,친구와 당구클럽," 광양시 사동로 6 (중동, 지하 101호)",127.688424,34.94066
당구장,천원 당구장," 광양시 사동로 63-1, 3층 (중동)",127.686875,34.944974
당구장,구슬치기 당구장," 광양시 사동로 70, 3층 (중동)",127.687289,34.945498
당구장,DJ당구클럽, 광양시 아미1길 10 (중동),127.700699,34.936706
당구장,궁 당구클럽," 광양시 아미1길 16, 2층 (중동)",127.700708,34.937292
당구장,나이스 당구클럽, 광양시 오류2길 2 (중동),127.696366,34.936245
당구장,세븐당구장, 광양시 오류3길 19-1 (중동),127.696601,34.937715
당구장,대한당구클럽," 광양시 오류5길 60, 1층 (중동)",127.695671,34.937622
당구장,DJ당구클럽, 광양시 광양읍 남등1길 109,127.576914,34.976868
당구장,케이당구장," 광양시 광양읍 대림1길 14-1, 2층",127.564267,34.968169
당구장,당구의 신," 광양시 광양읍 대림오성로 112, 2층",127.573934,34.964508
당구장,뉴 당구장," 광양시 광양읍 대림오성로 121, 2층",127.574873,34.964962
당구장,아트당구클럽, 광양시 광양읍 대림오성로 144,127.577327,34.964745
당구장,행운당구클럽," 광양시 광양읍 대림오성로 146-1, 2층 [*미고시]",127.577754,34.964764
당구장,라인당구클럽," 광양시 광양읍 매천로 735, 2층",127.577463,34.978817
당구장,덕진 당구장," 광양시 광양읍 서평로 31, 2층",127.576398,34.977236
당구장,영당구장," 광양시 광양읍 신재로 45-1, 2층",127.58875,34.975367
당구장,현 당구, 광양시 광양읍 예구길 86-1,127.573457,34.96355
당구장,광양시 당구클럽, 광양시 중마로 535 (마동),127.701586,34.936736
당구장,민 당구장," 광양시 눈소1길 58, 2층 (마동)",127.701574,34.937033
당구장,BB 당구클럽," 광양시 사동로 206-1, 2층 (마동)",127.69274,34.954544
당구장,세리당구클럽, 광양시 중마로 321 (마동),127.696073,34.95046
당구장,중마당구장," 광양시 중마로 333, 2층 (마동)",127.697343,34.950427
당구장,호박당구장," 광양시 광양읍 매천로 835, 3층",127.586756,34.975658
당구장,1등 당구장, 광양시 광양읍 백운로 1,127.589778,34.971278
당구장,월드당구클럽," 광양시 광양읍 서평10길 15, 2층",127.581224,34.980128
당구장,자니스당구장," 광양시 광양읍 서평10길 27, 1층",127.580638,34.981154
당구장,황금 당구장," 광양시 광양읍 서평8길 19, 1호",127.579004,34.981545
당구장,퀸당구장," 광양시 광양읍 와룡길 6, 2층",127.608978,34.970873
당구장,Good dang 당구장," 광양시 광양읍 용강로 24, 4층",127.609038,34.971955
당구장,중앙당구장," 광양시 광양읍 인서6길 25, 나동 3층 301호 (중앙상설시장)",127.584728,34.969422
당구장,필 당구클럽, 광양시 광양읍 인서중앙길 34,127.585558,34.969812
당구장,오늘은 당구왕, 광양시 광양읍 칠성2길 14,127.584292,34.977687
당구장,뉴칠성당구클럽, 광양시 광양읍 칠성로 49,127.583857,34.979164
당구장,신선당구클럽," 광양시 광양읍 호북길 26, 3층",127.584242,34.981094
당구장,서천당구클럽,"광양시 서천2길 21, 1층",127.580427,34.971111
당구장,윈당구클럽," 광양시 금호로 26, 3층 (금호동, 몰오브광양)",127.723133,34.935497
당구장,백운당구장," 광양시 폭포사랑길 99, 백운쇼핑센터 (금호동)",127.732105,34.940196
당구장,BY당구클럽," 광양시 진상면 백운3로 20, 2층",127.720953,35.01996
당구장,사계절당구장," 광양시 진월면 섬진강매화로 125, 2층",127.769062,34.983714
당구장,까치당구장,광양읍 대림오성로 32,127.695977,34.940679
당구장,상아당구장, 광양시 광양읍 서북2길 6,127.578794,34.971222
당구장,킹 당구클럽, 광양시 공영로 108 2층,127.700955,34.93567
당구장,로얄당구장, 광양시 담안2길 8-12 (태인동),127.750076,34.941803
당구장업,월드당구클럽,"전라남도 광양시 나룻1길 24, 3층 (광영동)",127.728632,34.960877
무도장업,반도무도학원," 광양시 광양읍 매천로 814, 2층",127.584546,34.975164
빙상장,부영스포츠타운," 광양시 광양읍 순광로 482-8, ㈜부영스포츠타운",127.569316,34.961823
수영장,광양레포츠(수영장)," 광양시 중마로 410, 광양커뮤니티센터 1층 (마동)",127.703104,34.946845
스크린야구,레전드스크린야구, 광양시 오류2길 2 3층,127.696366,34.936245
스크린야구,리얼스크린야구, 광양시 광장로 142,127.695281,34.936666
썰매장업,국사봉랜드,전라남도 광양시 옥곡면 대치로 433,127.652534,35.006432
체력단련장,백운휘트니스, 광양시 진등2길 12 (중동),127.689469,34.950867
체력단련장,H.J 퍼스널 휘트니스, 광양시 구마4길 19 (중동),127.688879,34.947711
체력단련장,프라임헬스," 광양시 중마로 230  (중동,무등파크 상가동 301,302호)",127.689862,34.94536
체력단련장,머슬팩토리," 광양시 중마중앙로 81, 3층 (중동)",127.69773,34.937447
체력단련장,현대온천," 광양시 광영로 136, 현대온천 (광영동)",127.716056,34.965635
체력단련장,현대헬스&휘트니스," 광양시 광영로 144, 3층 (광영동)",127.7169,34.965538
체력단련장,(주)스파렉스, 광양시 광포로 56 (광영동),127.722172,34.964216
체력단련장,발리 휘트니스," 광양시 광포로 72, 목우아파트 (광영동)",127.720068,34.964418
체력단련장,광영 골프연습장, 광양시 금영로 203 (광영동),127.716017,34.967591
체력단련장,크로스핏야인, 광양시 공영로 107 (중동),127.700953,34.936031
체력단련장,흰돌 체육관, 광양시 공영로 66 (중동),127.696215,34.935713
체력단련장,비케이짐 피트니스," 광양시 공영로 67, 3층 (중동)",127.696585,34.936119
체력단련장,S-Gym," 광양시 광장로 109, 301호,302호호 (중동)",127.69481,34.933807
체력단련장,강남스크린," 광양시 길호2길 33, 1층 (중동)",127.695486,34.93142
체력단련장,라이언 휘트니스," 광양시 사동로 139, 상가동 3층 301~304호 (중동, 광양써니밸리아파트)",127.687586,34.950935
체력단련장,크로스핏예스, 광양시 시청로 13 (중동),127.69343,34.939798
체력단련장,B.B GYM, 광양시 느지매기길 15-8 (마동),127.686609,34.954358
체력단련장,금강스포츠," 광양시 광양읍 서북3길 24, 1층",127.577253,34.972759
체력단련장,제일헬스, 광양시 광양읍 서평10길 36,127.580613,34.981785
체력단련장,광양 용강 body & 복싱, 광양시 광양읍 용강4길 5,127.607376,34.976051
체력단련장,건화베스파, 광양시 광양읍 인덕로 1121,127.580555,34.982362
체력단련장,헐크짐," 광양시 광양읍 칠성로 52, 2층",127.584243,34.978732
체력단련장,백운체력단련장," 광양시 제철백운길 100, 백운골프장, 백운체력단련장 (금호동)",127.73415,34.94423
체력단련장,그린 휘트니스," 광양시 구마10길 3-15, 지하1층 (성황동)",127.68324,34.947723
체력단련장,그린골프실내연습장," 광양시 구마10길 3-15, 지하동 2층 (성황동)",127.68324,34.947723
체육도장,백운합기도, 광양시 광양읍 성북길 40,127.583711,34.97343
체육도장,흑룡체육관, 광양시 광양시 행정 1길 9,127.693464,34.942449
체육도장업,마동누리태권도장,진등1길 12,123.77474,32.53129
체육도장업,광양유도관," 광양시 오류로 71, 1층 (중동)",127.694921,34.944976
체육도장업,광양복싱클럽, 광양시 중마중앙로 69 (중동),127.697712,34.936456
체육도장업,엘리트태권도장," 광양시 광영로 146, 2층 (광영동)",127.717031,34.965701
체육도장업,메이크더복서," 광양시 광영로 27, 3층 (광영동)",127.725771,34.961781
체육도장업,한국태권도," 광양시 금영로 156 (광영동,목우상가에이동 2층 1호)",127.719816,34.964481
체육도장업,용인대석사태권도장," 광양시 금영로 167, 2층 (광영동)",127.719288,34.965408
체육도장업,경희태권도체육관," 광양시 공영로 10, 상가동 301호 (중동, 금광아파트)",127.690176,34.934643
체육도장업,초당검도관," 광양시 공영로 10, 상가동 401호 (중동, 금광아파트)",127.690176,34.934643
체육도장업,영웅태권도장," 광양시 공영로 39, 상가동 201호 (중동, 호반리젠시빌아파트)",127.693561,34.936806
체육도장업,타이거즈 태권도," 광양시 광장로 112-20 (중동,성호1차아파트 상가 305호(3층))",127.69685,34.932658
체육도장업,광양태권도 예절교육관," 광양시 광장로 70, 206동 208호 (중동, 성호2차아파트)",127.689749,34.931883
체육도장업,용호체육관," 광양시 길호길 49, 2층 (중동)",127.695036,34.931806
체육도장업,동광양키즈태권도장, 광양시 불로로 139 (중동),127.694507,34.944525
체육도장업,광양체육관," 광양시 광양읍 대림오성로 18, 3층",127.564825,34.968279
체육도장업,금강태권도," 광양시 광양읍 서평로 61, 2층 (대성빌딩 201호 202호)",127.578193,34.979541
체육도장업,무진태권도," 광양시 광양읍 와룡길 33, 719동 302호 (광양송보파인빌7차(상가동))",127.612521,34.969658
체육도장업,용인대광양태권도장," 광양시 광양읍 와룡길 40, 3층",127.611,34.96932
체육도장업,마로태권도," 광양시 광양읍 와룡길 43, 상가동 107,108,109호 (남해오네뜨@)",127.610415,34.967956
체육도장업,한국 경희대 태권도," 광양시 진등6길 11 (마동,금광블루빌아파트 상가 201호(2층))",127.687109,34.955405
체육도장업,브레인태권도, 광양시 사동로 173 (마동),127.689072,34.954535
체육도장업,써밋태권스쿨, 광양시 사동로 196 (마동),127.691568,34.95456
체육도장업,프리미엄 인성 태권도장," 광양시 사동로 188, 2층 (마동)",127.69078,34.954531
체육도장업,마동검도관," 광양시 사동로 190, 3층 (마동)",127.690933,34.954549
체육도장업,흰돌합기도장," 광양시 사동로 200, 3층 (마동)",127.691952,34.954515
체육도장업,한국유도관," 광양시 광양읍 서북3길 28, 2층",127.576978,34.973064
체육도장업,경희대 칠성 태권도," 광양시 광양읍 서평1길 9, 상가동 2층 204호 (덕진아파트)",127.574211,34.97648
체육도장업,매천검도관, 광양시 광양읍 서평2길 10,127.575982,34.977072
체육도장업,MPK 태권도장," 광양시 광양읍 서평8길 23, 4층",127.579443,34.981339
체육도장업,힘찬태권도장," 광양시 광양읍 서평9길 25-6, 1층",127.579889,34.982089
체육도장업,대국체육관," 광양시 광양읍 와룡길 9-6, 2층",127.60994,34.971263
체육도장업,금강 인성 태권도장," 광양시 광양읍 용강1길 43, 2층",127.609215,34.976345
체육도장업,홍일유도관," 광양시 광양읍 용두2길 8, 2층",127.607433,34.971057
체육도장업,용호체육관," 광양시 광양읍 호북길 26, 2층",127.584242,34.981094
체육도장업,용강체육관,"광양시 용강1길 11, 창덕아파트 1차상가 3층",127.609874,34.97349
체육도장업,선교체육관," 광양시 폭포사랑길 99, 백운쇼핑센터 1층 (금호동)",127.732105,34.940196
체육도장업,대국체육관,"전라남도 광양시 광양읍 와룡길 9-6, 1층",127.60994,34.971263
체육도장업,도솔합기도,"전라남도 광양시 광양읍 희양현로 40, 광주은행 3층",127.587397,34.974488
체육도장업,흑룡체육관,"전라남도 광양시 행정1길 9, 상가동 3층 304호 (중동, 중마부영2차아파트)",127.693464,34.942449
