주차장명칭,구분,DGM_AR,주차면수,유료/무료,주소,lon,lat,geometry,category,소유주체
인서리 212-1,노외,238,8,무료,인서리 212-1/2,127.5870409,34.97225676,POINT (127.5870409 34.97225676),주차장,군유지
인동리 272-2,노외,369,12,무료,인동리 272-2,127.5882019,34.97235444,POINT (127.5882019 34.97235444),주차장,군유지
인동리 350,노외,75,5,무료,인동리 350,127.5888384,34.97350588,POINT (127.5888384 34.97350588),주차장,군유지
칠성리 268-4,노외,113,5,무료,칠성리 268-4,127.5859997,34.97777097,POINT (127.5859997 34.97777097),주차장,군유지
읍내리 21,노외,84,5,무료,읍내리 21,127.5873974,34.97679413,POINT (127.5873974 34.97679413),주차장,군유지
읍내리 25-1,노외,70,4,무료,읍내리 25-1,127.5880237,34.9766775,POINT (127.5880237 34.9766775),주차장,군유지
용강리 914-5,노외,1587,53,무료,용강리 914-5,127.6091227,34.96947377,POINT (127.6091227 34.96947377),주차장,군유지
용강리 898-6,노외,1246,43,무료,용강리 898-6,127.6099135,34.97084895,POINT (127.6099135 34.97084895),주차장,군유지
용강리 865-5,노외,1251,52,무료,용강리 865-5,127.607064,34.97400612,POINT (127.607064 34.97400612),주차장,군유지
구 농산물검사소 앞,노외,409,27,무료,칠성리 531-1,127.5833946,34.97364516,POINT (127.5833946 34.97364516),주차장,군유지
인동숲 앞,노외,87,14,무료,인서리 237-1,127.5868828,34.97032367,POINT (127.5868828 34.97032367),주차장,군유지
중앙탕 앞,노외,330,16,무료,인서리 457-12,127.5851139,34.96961151,POINT (127.5851139 34.96961151),주차장,군유지
광양읍 5일시장,노외,1529,35,무료,목성리 683-3,127.5911819,34.97169397,POINT (127.5911819 34.97169397),주차장,군유지
익신일반산단내1,노외,4361,165,무료,익신리 744,127.6029517,34.95237354,POINT (127.6029517 34.95237354),주차장,군유지
익신일반산단내2,노외,2964,113,무료,익신리 750,127.6034106,34.95061171,POINT (127.6034106 34.95061171),주차장,군유지
초남2산단,노외,3143,,무료,초남리 760-6,127.6063808,34.94441976,POINT (127.6063808 34.94441976),주차장,군유지
초남2산단,노외,2692,,무료,초남리 760-8,127.6064422,34.94261233,POINT (127.6064422 34.94261233),주차장,군유지
구산리 417,노외,700,24,무료,구산리 417,127.5719586,34.97620329,POINT (127.5719586 34.97620329),주차장,군유지
덕산마을,노외,778,11,무료,덕례리 1074-6,127.5644555,34.96509233,POINT (127.5644555 34.96509233),주차장,군유지
덕산마을 회관,노외,562,15,무료,덕례리 1065-10,127.5643028,34.9662973,POINT (127.5643028 34.9662973),주차장,군유지
구산2 어린이공원,노외,890,34,무료,칠성리 994-3,127.5795867,34.98027338,POINT (127.5795867 34.98027338),주차장,군유지
무선마을,노외,185,4,무료,덕례리 167-1,127.5755968,34.95235914,POINT (127.5755968 34.95235914),주차장,군유지
덕진봄@ 부근,노외,1890,64,무료,구산리 829-1,127.5755321,34.97710286,POINT (127.5755321 34.97710286),주차장,군유지
세승마을,노외,185,4,무료,세풍리 489-4,127.5769917,34.94399797,POINT (127.5769917 34.94399797),주차장,군유지
목성우체국 부근,노외,391,14,무료,목성리 730-12,127.5919166,34.97350865,POINT (127.5919166 34.97350865),주차장,군유지
성북마을,노외,690,29,무료,칠성리 907-16,127.5823986,34.96945565,POINT (127.5823986 34.96945565),주차장,군유지
예구마을 소공원,노외,962,35,무료,덕례리 1667,127.5695116,34.96635132,POINT (127.5695116 34.96635132),주차장,군유지
광양읍5일시장 인근,노외,3180,92,무료,목성리 835-1,127.590331,34.97385716,POINT (127.590331 34.97385716),주차장,군유지
성황마을,노외,852,25,무료,목성리 799,127.5903748,34.97701647,POINT (127.5903748 34.97701647),주차장,군유지
구 중마상설시장 앞,노외,6190,201,무료,중동1358-1,127.6946729,34.94203773,POINT (127.6946729 34.94203773),주차장,군유지
남양파크 건너편,노외,1705,65,무료,중동 1399,127.6877323,34.94305392,POINT (127.6877323 34.94305392),주차장,군유지
중동 1314-3(시청 옆),노외,2228,100,무료,중동 1314-3,127.697067,34.94068031,POINT (127.697067 34.94068031),주차장,군유지
동광주유소 뒤,노외,1761,68,무료,중동 1568,127.6887738,34.94984465,POINT (127.6887738 34.94984465),주차장,군유지
장례식 옆,노외,1448,55,무료,중동 1751-1,127.7002684,34.9393761,POINT (127.7002684 34.9393761),주차장,군유지
길호주거환경개선사업,노외,964,38,무료,중동 1851-2,127.6968827,34.93059282,POINT (127.6968827 34.93059282),주차장,군유지
길호주거환경개선사업,노외,862,34,무료,중동 1871-1,127.6988915,34.93091425,POINT (127.6988915 34.93091425),주차장,군유지
중복도로,노외,2350,47,무료,마동 276-7,127.7100427,34.95554343,POINT (127.7100427 34.95554343),주차장,군유지
중동근린공원,노외,1850,74,무료,중동 1673,127.6928732,34.93460952,POINT (127.6928732 34.93460952),주차장,군유지
시민광장,노외,1500,59,무료,중동 1311-1,127.6959422,34.93915947,POINT (127.6959422 34.93915947),주차장,군유지
르네상스호텔 옆,노외,1225,80,무료,중동 1303-1,127.6989911,34.9409544,POINT (127.6989911 34.9409544),주차장,군유지
우봉카이스트빌 앞,노외,410,13,무료,중동 1731,127.6957435,34.94604571,POINT (127.6957435 34.94604571),주차장,군유지
주공2차아파트 뒤,노외,876,90,무료,중동 1434-1,127.6851221,34.94569948,POINT (127.6851221 34.94569948),주차장,군유지
중마일반부두 인근,노외,3400,130,무료,중동 1813-4,127.696358,34.9260025,POINT (127.696358 34.9260025),주차장,군유지
사동지구(백운탕인근),노외,1883,68,무료,중동 1581,127.6893126,34.95050872,POINT (127.6893126 34.95050872),주차장,군유지
금광@앞,노외,5514,157,무료,중동 1660,127.6896116,34.93634835,POINT (127.6896116 34.93634835),주차장,군유지
와우호수공원내,노외,1510,45,무료,마동 21,127.7185594,34.94962444,POINT (127.7185594 34.94962444),주차장,군유지
대원식당 옆,노외,3908,163,무료,중동 1748,127.7002524,34.94020098,POINT (127.7002524 34.94020098),주차장,군유지
시티프라자 앞,노외,2500,100,무료,중동 1675-1,127.6939107,34.93565942,POINT (127.6939107 34.93565942),주차장,군유지
중마터미널주차장,노외,20700,450,무료,중동1372-2,127.6857403,34.94053829,POINT (127.6857403 34.94053829),주차장,
중동교회 뒤,노외,654,16,무료,중동 1512-3,127.6868986,34.94919151,POINT (127.6868986 34.94919151),주차장,군유지
중동 청소년문화센터,노외,2206,58,무료,중동 1659,127.6900603,34.93684137,POINT (127.6900603 34.93684137),주차장,군유지
중동 성호아파트 옆,노외,1695,61,무료,중동 1666,127.6897749,34.93306421,POINT (127.6897749 34.93306421),주차장,
써니밸리 아파트 옆,노외,1733,48,무료,마동 산21-36,127.713345,34.94603681,POINT (127.713345 34.94603681),주차장,개인
중동상가 밀집지역 주차장,노외,1171,86,무료,중동 1767-3,127.6993505,34.9341395,POINT (127.6993505 34.9341395),주차장,
중동상가 밀집지역 2차분 주차장,노외,2293,56,무료,중동 1762-1,127.6993219,34.93509112,POINT (127.6993219 34.93509112),주차장,군유지
강남지구,노외,221,7,무료,중동 1827-15,127.6950417,34.93165217,POINT (127.6950417 34.93165217),주차장,군유지
주공 고층아파트 부근,노외,3745,85,무료,중동 1435-1,127.6867304,34.94667742,POINT (127.6867304 34.94667742),주차장,개인
영주교회 부근,노외,2240,63,무료,중동 1375,127.6853939,34.94393844,POINT (127.6853939 34.94393844),주차장,군유지
청소년문화센터 부근,노외,230,9,무료,중동 1611-6,127.6906065,34.93811528,POINT (127.6906065 34.93811528),주차장,군유지
강남병원 부근,노외,211,7,무료,중동 1835-4,127.695297,34.93141276,POINT (127.695297 34.93141276),주차장,군유지
사동 1공구(노암공원),노외,326,15,무료,마동 1025,127.6900011,34.95511925,POINT (127.6900011 34.95511925),주차장,군유지
사동 2공구(송보 6차 앞),노외,431,17,무료,마동 1039,127.6918497,34.95534143,POINT (127.6918497 34.95534143),주차장,군유지
성호 2-1차,노외,719,19,무료,중동 1666,127.6897749,34.93306421,POINT (127.6897749 34.93306421),주차장,
중동 1634-11,노외,237,8,무료,중동 1634-11,127.6970676,34.93814411,POINT (127.6970676 34.93814411),주차장,군유지
주공1차 아파트 인근,노외,1183,34,무료,중동 1297-1,127.6990993,34.942505,POINT (127.6990993 34.942505),주차장,군유지
중마13통,노외,209,7,무료,중동 1390-3,127.6885213,34.94187598,POINT (127.6885213 34.94187598),주차장,군유지
중마13통,노외,211,8,무료,중동 1393-9,127.6887595,34.94285495,POINT (127.6887595 34.94285495),주차장,군유지
호반아파트 후문,노외,621,23,무료,중동 1626,127.693492,34.93800771,POINT (127.693492 34.93800771),주차장,군유지
우봉카이트스빌 인근 광장,노외,1450,38,무료,중동 1711,127.6974889,34.94770602,POINT (127.6974889 34.94770602),주차장,군유지
시청뒤 소공원 인근,노외,547,19,무료,중동 1316-8,127.6970083,34.94219537,POINT (127.6970083 34.94219537),주차장,군유지
골약교회 옆,노외,530,18,무료,도이동 788,127.6831609,34.93816373,POINT (127.6831609 34.93816373),주차장,군유지
황길동 892-18,노외,2363,80,무료,황길동 892-18,127.6578975,34.90943319,POINT (127.6578975 34.90943319),주차장,국유지
마린센터 옆 공원내,노외,5440,220,무료,도이동 858,127.6666866,34.91148749,POINT (127.6666866 34.91148749),주차장,국유지
황곡마을,노외,116,4,무료,황길동 1212-1,127.6474074,34.92058605,POINT (127.6474074 34.92058605),주차장,군유지
평생교육관입구,노외,272,8,무료,광영동 98,127.7180244,34.96185094,POINT (127.7180244 34.96185094),주차장,군유지
가야아파트 앞,노외,1151,35,무료,광영동 242,127.7140593,34.96579382,POINT (127.7140593 34.96579382),주차장,군유지
우주빌라 옆,노외,722,26,무료,광영동 797-2,127.7213355,34.96374371,POINT (127.7213355 34.96374371),주차장,군유지
현대@앞,노외,841,25,무료,광영동 762-2,127.7150319,34.96441751,POINT (127.7150319 34.96441751),주차장,군유지
현대@앞,노외,926,21,무료,광영동 762-11,127.7157411,34.96395255,POINT (127.7157411 34.96395255),주차장,군유지
그린파크 내,노외,208,15,무료,광영동 258-7,127.7135176,34.96757966,POINT (127.7135176 34.96757966),주차장,
영수공원 앞,노외,375,14,무료,광영동 778-3,127.7188636,34.96450322,POINT (127.7188636 34.96450322),주차장,군유지
광영교회 뒤,노외,224,7,무료,광영동 768-9,127.7179756,34.96529036,POINT (127.7179756 34.96529036),주차장,군유지
광영파출소 앞,노외,544,20,무료,광영동 675-6,127.7194304,34.96196927,POINT (127.7194304 34.96196927),주차장,군유지
광영초등학교 지하,노외,1584,66,무료,광영동 791-2,127.7204651,34.96320113,POINT (127.7204651 34.96320113),주차장,"시, 도유지"
광포4길 공원앞,노외,762,15,무료,광영동 686,127.7217175,34.9607298,POINT (127.7217175 34.9607298),주차장,군유지
성심빌라 뒤,노외,575,24,무료,광영동 317-4,127.7142277,34.96439627,POINT (127.7142277 34.96439627),주차장,군유지
로데오아파트 앞,노외,240,10,무료,광영동 313,127.7138638,34.96529045,POINT (127.7138638 34.96529045),주차장,
광영동 가야아파트 옆,노외,395,15,무료,광영동 254,127.7136642,34.96606151,POINT (127.7136642 34.96606151),주차장,군유지
가야산 내,노외,3095,54,무료,광영동 304,127.7089985,34.96513856,POINT (127.7089985 34.96513856),주차장,군유지
영수마을회관,노외,245,6,무료,광영동 780-7,127.7189329,34.9640298,POINT (127.7189329 34.96402979999999),주차장,군유지
영수마을 소공원 인근,노외,448,20,무료,광영동 768-9,127.7179756,34.96529036,POINT (127.7179756 34.96529036),주차장,군유지
현대아파트 인근,노외,207,7,무료,광영동 762-9,127.7159688,34.96398504,POINT (127.7159688 34.96398504),주차장,군유지
도촌마을 내,노외,919,25,무료,태인동 1341,127.742802,34.94483969,POINT (127.742802 34.94483969),주차장,군유지
용지마을 내,노외,544,18,무료,태인동 125-214,127.7572836,34.94275714,POINT (127.7572836 34.94275714),주차장,군유지
궁기회관 앞,노외,470,8,무료,태인동 819-3,127.7525573,34.94736022,POINT (127.7525573 34.94736022),주차장,군유지
태인동 복지관앞,노외,6734,66,무료,태인동 398,127.7495686,34.94326501,POINT (127.7495686 34.94326501),주차장,군유지
태인동 1711,노외,3343,78,무료,태인동 1711,127.7620563,34.94472048,POINT (127.7620563 34.94472048),주차장,군유지
용지마을 내,노외,118,36,무료,태인동 125-48,127.7558107,34.94297476,POINT (127.7558107 34.94297476),주차장,군유지
명단산단  대성철강 앞,노외,3759,104,무료,태인동 1739,127.7605862,34.95131446,POINT (127.7605862 34.95131446),주차장,군유지
장내마을회관,노외,387,10,무료,태인동 530-9,127.74726,34.94423984,POINT (127.74726 34.94423984),주차장,군유지
목련빌라 24동,노외,300,12,무료,금호동 684,127.7283881,34.94063817,POINT (127.7283881 34.94063817),주차장,
사랑아파트 앞,노외,2094,72,무료,금호동 797-6,127.7166311,34.93659769,POINT (127.7166311 34.93659769),주차장,법인
백운아트홀 주변,노외,6050,230,무료,금호동 813-1,127.7236529,34.94257175,POINT (127.7236529 34.94257175),주차장,법인
자치센타 앞,노외,731,28,무료,금호동 624-9,127.7234028,34.93760112,POINT (127.7234028 34.93760112),주차장,법인
백합아파트 41동 주변,노외,1750,70,무료,금호동 624-1,127.72285,34.93364406,POINT (127.72285 34.93364406),주차장,
사랑아파트 부근,노외,980,35,무료,금호동 624-13,127.7170155,34.93423236,POINT (127.7170155 34.93423236),주차장,
옥룡사지입구,노외,1800,58,무료,옥룡면 추산리 423-2,127.6050819,35.04139407,POINT (127.6050819 35.04139407),주차장,군유지
노인정 앞,노외,495,20,무료,옥룡면 운평리 659-1,127.6172563,35.01383856,POINT (127.6172563 35.01383856),주차장,개인
옥곡면 5일시장,노외,1194,40,무료,신금리 1350-6,127.6992545,34.9888758,POINT (127.6992545 34.9888758),주차장,군유지
사랑방국밥 옆,노외,185,8,무료,신금리 1309-1,127.7012233,34.98924159,POINT (127.7012233 34.98924159),주차장,군유지
신기경로당 인근,노외,276,14,무료,신금리 1298,127.7011097,34.99034487,POINT (127.7011097 34.99034487),주차장,군유지
축구장 옆,노외,240,10,무료,신금리 1333-2,127.6998323,34.98749713,POINT (127.6998323 34.98749713),주차장,기타단체
신기마을 회관 앞,노외,250,20,무료,신금리 1562,127.7027049,34.98893865,POINT (127.7027049 34.98893865),주차장,군유지
우체국 뒤,노외,2590,102,무료,신금리 1410-12,127.7006816,34.98714377,POINT (127.7006816 34.98714377),주차장,군유지
옥곡 5일시장 내,노외,130,10,무료,신금리 1323-2,127.7011849,34.98832827,POINT (127.7011849 34.98832827),주차장,군유지
면민광장 앞,노외,490,10,무료,신금리 1338-3,127.6994061,34.98809093,POINT (127.6994061 34.98809093),주차장,"시, 도유지"
장동게이트볼장 앞,노외,82,10,무료,장동리 608-1,127.7053431,34.98574039,POINT (127.7053431 34.98574039),주차장,개인
의암공단4거리,노외,688,20,무료,신금리 440-48,127.7158771,34.9747699,POINT (127.7158771 34.9747699),주차장,군유지
산단내  지엔앞,노외,980,30,무료,신금리 1583-4,127.7166698,34.97709596,POINT (127.7166698 34.97709596),주차장,군유지
화물자동차공영차고지,노외,33058,238,무료,신금리 1587-1,127.718852,34.9765249,POINT (127.718852 34.9765249),주차장,군유지
금이마을 앞,노외,460,36,무료,금이리 785-1,127.7140393,34.99157422,POINT (127.7140393 34.99157422),주차장,기타단체
섬거리 302-4,노외,397,17,무료,섬거리 302-4,127.7192842,35.01841682,POINT (127.7192842 35.01841682),주차장,군유지
어치리 산 283-10,노외,1530,46,무료,어치리 산 283-10,127.6743372,35.0950654,POINT (127.6743372 35.0950654),주차장,국유지
금이리 453-2,노외,1122,20,무료,금이리 453-2,127.7128738,35.00517845,POINT (127.7128738 35.00517845),주차장,군유지
섬거리 557-33,노외,388,8,무료,섬거리 557-33,127.7186945,35.01881733,POINT (127.7186945 35.01881733),주차장,군유지
문화마을 내,노외,577,20,무료,마룡리 1013-3,127.7478462,34.98932443,POINT (127.7478462 34.98932443),주차장,군유지
문화마을 내,노외,624,22,무료,마룡리 1023-2,127.7466794,34.98684478,POINT (127.7466794 34.98684478),주차장,군유지
망덕포구 내,노외,4200,50,무료,선소리 812-68,127.7605907,34.97636174,POINT (127.7605907 34.97636174),주차장,국유지
매화로주변,노외,4300,65,무료,선소리 140-2,127.7585815,34.97930495,POINT (127.7585815 34.97930495),주차장,국유지
선소마을 내,노외,553,19,무료,선소리 203-4,127.7588595,34.97786365,POINT (127.7588595 34.97786365),주차장,군유지
망덕리 845-62외5,노외,744,62,무료,망덕리 845-62,127.7585083,34.9725704,POINT (127.7585083 34.9725704),주차장,군유지
봉강면 조령리 838,노외,1251,68,무료,봉강면 조령리 838,127.5724099,35.08692332,POINT (127.5724099 35.08692332),주차장,군유지
봉강면 조령리 산173-15,노외,590,50,무료,봉강면 조령리 산173-15,127.5672596,35.08124323,POINT (127.5672596 35.08124323),주차장,군유지
봉강면 조령리 822-2,노외,3031,73,무료,봉강면 조령리 822-2,127.5646627,35.07914604,POINT (127.5646627 35.07914604),주차장,군유지
농협시지부 옆,임시,,42,무료,읍내 287,127.5866619,34.97508013,POINT (127.5866619 34.97508013),주차장,개인
매화마을 앞,임시,,42,무료,구산 768-4,127.5800508,34.98311879,POINT (127.5800508 34.98311879),주차장,군유지
개성주차장 앞,임시,,7,무료,목성 721-4,127.5915616,34.9734155,POINT (127.5915616 34.9734155),주차장,개인
개성마을,임시,,11,무료,목성729-1,127.5918643,34.97314256,POINT (127.5918643 34.97314256),주차장,
시계탑 4거리 위,임시,,15,무료,인동 387,127.5881252,34.97454856,POINT (127.5881252 34.97454856),주차장,개인
상아아파트 앞,임시,,12,무료,칠성 951-9,127.5788103,34.97106189,POINT (127.5788103 34.97106189),주차장,
목성 성황길,임시,,28,무료,목성799,127.5903748,34.97701647,POINT (127.5903748 34.97701647),주차장,군유지
인서 평화빌라 앞,임시,,10,무료,칠성 568,127.5829598,34.97006874,POINT (127.5829598 34.97006874),주차장,개인
소방파출소 앞,임시,,20,무료,인서 471-1,127.5854741,34.96871826,POINT (127.5854741 34.96871826),주차장,개인
5일시장 주변,임시,,21,무료,목성 680-1,127.5918865,34.97160139,POINT (127.5918865 34.97160139),주차장,
제일교광양교회인근,임시,,25,무료,칠성리 908-11,127.5830896,34.96886623,POINT (127.5830896 34.96886623),주차장,개인
광주은행 앞,임시,,6,무료,인서리 8-3,127.5870123,34.97455934,POINT (127.5870123 34.97455934),주차장,개인
인서리 478-2,임시,448,18,무료,인서리 478-2,127.5826461,34.96803651,POINT (127.5826461 34.96803651),주차장,개인
칠성리 1000-10,임시,809,37,무료,칠성리 1000-10,127.5820152,34.97763156,POINT (127.5820152 34.97763156),주차장,개인
농협중부지점 옆,임시,,31,무료,읍내 364-3,127.5854007,34.97437384,POINT (127.5854007 34.97437384),주차장,개인
칠성리 896-7,임시,,14,무료,칠성리 896-7,127.5853425,34.979462,POINT (127.5853425 34.979462),주차장,개인
칠성리 194-3,임시,207,7,무료,칠성리 194-3,127.584016,34.9774999,POINT (127.584016 34.9774999),주차장,군유지
구산리 768-7,임시,545,16,무료,구산리 768-7,127.580404,34.98266259,POINT (127.580404 34.98266259),주차장,개인
구산리 829-1,임시,1890,34,무료,구산리 829-1,127.5755321,34.97710286,POINT (127.5755321 34.97710286),주차장,군유지
한우명가 옆,임시,1890,56,무료,구산리 790-8,127.5764998,34.98007891,POINT (127.5764998 34.98007891),주차장,군유지
덕례리 1737-20,임시,,30,무료,덕례리 1737-20,127.5778804,34.96357808,POINT (127.5778804 34.96357808),주차장,개인
덕례리 1681-2,임시,,23,무료,덕례리 1681-2,127.568579,34.96492415,POINT (127.568579 34.96492415),주차장,개인
덕례리 1681-9,임시,,23,무료,덕례리 1681-9,127.5687936,34.9648732,POINT (127.5687936 34.9648732),주차장,개인
광양읍 덕례리 1735-12,임시,583,24,무료,광양읍 덕례리 1735-12,127.5768189,34.9639535,POINT (127.5768189 34.9639535),주차장,
광양읍 덕례리 1734-15,임시,301,12,무료,광양읍 덕례리 1734-15,127.5759356,34.96407408,POINT (127.5759356 34.96407408),주차장,개인
광양읍 덕례리 1734-18,임시,34449,14,무료,광양읍 덕례리 1734-18,127.5762657,34.96387607,POINT (127.5762657 34.96387607),주차장,
기아자동차 옆,임시,207,7,무료,기아자동차 옆 중동 1346-5,127.6948963,34.94510211,POINT (127.6948963 34.94510211),주차장,개인
중동 1777-1,임시,,13,무료,중동 1777-1,127.698869,34.93223863,POINT (127.698869 34.93223863),주차장,
중동 1703-5,임시,,11,무료,중동 1703-5,127.6978005,34.94903907,POINT (127.6978005 34.94903907),주차장,개인
중동 1766-7,임시,,18,무료,중동 1766-7,127.7009312,34.93398598,POINT (127.7009312 34.93398598),주차장,개인
길호공유수면 매립지내,임시,235,15,무료,중동1879-5,127.6990928,34.92725289,POINT (127.6990928 34.92725289),주차장,종중
중동 1864-10,임시,228,11,무료,중동 1864-10,127.6988209,34.93166671,POINT (127.6988209 34.93166671),주차장,개인
중동 1761-4,임시,146,7,무료,중동 1761-4,127.6990043,34.93506472,POINT (127.6990043 34.93506472),주차장,개인
중동 1770-7,임시,250,12,무료,중동 1770-7,127.7001098,34.93356877,POINT (127.7001098 34.93356877),주차장,개인
중동 1766-12,임시,304,14,무료,중동 1766-12,127.7001379,34.93399335,POINT (127.7001379 34.93399335),주차장,개인
중동 1758-11,임시,501,24,무료,중동 1758-11,127.6995307,34.93551752,POINT (127.6995307 34.93551752),주차장,개인
중동 1775-9,임시,497,24,무료,중동 1775-9,127.6989815,34.93256512,POINT (127.6989815 34.93256512),주차장,개인
중동1770-2,임시,231,11,무료,중동1770-2,127.7009169,34.93371565,POINT (127.7009169 34.93371565),주차장,개인
중동 1770-11,임시,229,11,무료,중동 1770-11,127.7007552,34.93370741,POINT (127.7007552 34.93370741),주차장,개인
중동 1611-6,임시,230,11,무료,중동 1611-6,127.6906065,34.93811528,POINT (127.6906065 34.93811528),주차장,군유지
중동 1621-4,임시,236,11,무료,중동 1621-4,127.6926278,34.93814807,POINT (127.6926278 34.93814807),주차장,개인
중동 1621-7,임시,231,11,무료,중동 1621-7,127.6926267,34.93799275,POINT (127.6926267 34.93799275),주차장,
중동 1621-9,임시,231,11,무료,중동 1621-9,127.6923298,34.93799459,POINT (127.6923298 34.93799459),주차장,개인
중동 1621-10,임시,230,12,무료,중동 1621-10,127.692164,34.93798662,POINT (127.692164 34.93798662),주차장,개인
중동 1626-0,임시,621,30,무료,중동 1626,127.693492,34.93800771,POINT (127.693492 34.93800771),주차장,군유지
중동 1761-2,임시,141,19,무료,중동 1761-2,127.6990036,34.93530919,POINT (127.6990036 34.93530919),주차장,개인
중동 1761-3,임시,235,19,무료,중동 1761-3,127.6990054,34.93518751,POINT (127.6990054 34.93518751),주차장,개인
중동 1403-9,임시,221,9,무료,중동 1403-9,127.6864079,34.94287931,POINT (127.6864079 34.94287931),주차장,개인
중동 1757-8,임시,277,12,무료,중동 1757-8,127.7006989,34.93551062,POINT (127.7006989 34.93551062),주차장,개인
중동 1773-2,임시,279,13,무료,중동 1773-2,127.6997752,34.93331343,POINT (127.6997752 34.93331343),주차장,개인
중동 1812-12,임시,1204,35,무료,중동 1812-12,127.6974453,34.92750079,POINT (127.6974453 34.92750079),주차장,
중동 1397-4,임시,215,10,무료,중동 1397-4,127.6879121,34.94236833,POINT (127.6879121 34.94236833),주차장,개인
중동 1379-1,임시,258,12,무료,중동 1379-1,127.6868271,34.94216201,POINT (127.6868271 34.94216201),주차장,개인
중동 1764-18,임시,300,12,무료,중동 1764-18,127.700153,34.93500805,POINT (127.700153 34.93500805),주차장,
마동 1164-1,임시,399,16,무료,마동 1164-1,127.7093956,34.93962893,POINT (127.7093956 34.93962893),주차장,
마동 1163-8,임시,471,19,무료,마동 1163-8,127.7092078,34.93939027,POINT (127.7092078 34.93939027),주차장,
송보아파트 부근 임시,임시,,303,무료,마동 1059,127.6913943,34.95307583,POINT (127.6913943 34.95307583),주차장,군유지
신혼방 옆,임시,,10,무료,광영동 763-4,127.7166393,34.96361346,POINT (127.7166393 34.96361346),주차장,개인
광은교회 위,임시,,10,무료,광영동 763-11,127.7168058,34.96336927,POINT (127.7168058 34.96336927),주차장,개인
불개미식당 옆,임시,,8,무료,광영동 798-14,127.7218661,34.96241369,POINT (127.7218661 34.96241369),주차장,개인
광영동 718-15,임시,,16,무료,광영동 718-15,127.7238633,34.96167086,POINT (127.7238633 34.96167086),주차장,법인
청송조경 뒤,임시,,13,무료,광영동 729-13,127.7251813,34.9616549,POINT (127.7251813 34.9616549),주차장,개인
케이엔텍 뒤,임시,,17,무료,광영동 725-13,127.7251802,34.96027667,POINT (127.7251802 34.96027667),주차장,개인
광영동 729-14,임시,174,8,무료,광영동 729-14,127.7250514,34.96165776,POINT (127.7250514 34.96165776),주차장,개인
광영동 776-1,임시,,10,무료,광영동 776-1,127.7191478,34.96522705,POINT (127.7191478 34.96522705),주차장,개인
수변공원옆,임시,850,22,무료,태인동 1600-10,127.7599465,34.95921947,POINT (127.7599465 34.95921947),주차장,군유지
