주차장명칭,구분,면적,주차면수,유료/무료,주소,lon,lat
장내마을회관,노외,387,10,무료,태인동 530-9,127.74726,34.94423984
목련빌라 24동,노외,300,12,무료,금호동 684,127.7283881,34.94063817
사랑아파트 앞,노외,2094,72,무료,금호동 797-6,127.7166311,34.93659769
백운아트홀 주변,노외,6050,230,무료,금호동 813-1,127.7236529,34.94257175
자치센타 앞,노외,731,28,무료,금호동 624-9,127.7234028,34.93760112
백합아파트 41동 주변,노외,1750,70,무료,금호동 624-1,127.72285,34.93364406
사랑아파트 부근,노외,980,35,무료,금호동 624-13,127.7170155,34.93423236
옥룡사지입구,노외,1800,58,무료,옥룡면 추산리 423-2,127.6050819,35.04139407
노인정 앞,노외,495,20,무료,옥룡면 운평리 659-1,127.6172563,35.01383856
옥곡면 5일시장,노외,1194,40,무료,신금리 1350-6,127.6992545,34.9888758
사랑방국밥 옆,노외,185,8,무료,신금리 1309-1,127.7012233,34.98924159
신기경로당 인근,노외,276,14,무료,신금리 1298,127.7011097,34.99034487
축구장 옆,노외,240,10,무료,신금리 1333-2,127.6998323,34.98749713
신기마을 회관 앞,노외,250,20,무료,신금리 1562,127.7027049,34.98893865
우체국 뒤,노외,2590,102,무료,신금리 1410-12,127.7006816,34.98714377
옥곡 5일시장 내,노외,130,10,무료,신금리 1323-2,127.7011849,34.98832827
면민광장 앞,노외,490,10,무료,신금리 1338-3,127.6994061,34.98809093
장동게이트볼장 앞,노외,82,10,무료,장동리 608-1,127.7053431,34.98574039
의암공단4거리,노외,688,20,무료,신금리 440-48,127.7158771,34.9747699
산단내  지엔앞,노외,980,30,무료,신금리 1583-4,127.7166698,34.97709596
화물자동차공영차고지,노외,33058,238,무료,신금리 1587-1,127.718852,34.9765249
금이마을 앞,노외,460,36,무료,금이리 785-1,127.7140393,34.99157422
섬거리 302-4,노외,397,17,무료,섬거리 302-4,127.7192842,35.01841682
어치리 산 283-10,노외,1530,46,무료,어치리 산 283-10,127.6743372,35.0950654
금이리 453-2,노외,1122,20,무료,금이리 453-2,127.7128738,35.00517845
섬거리 557-33,노외,388,8,무료,섬거리 557-33,127.7186945,35.01881733
문화마을 내,노외,577,20,무료,마룡리 1013-3,127.7478462,34.98932443
문화마을 내,노외,624,22,무료,마룡리 1023-2,127.7466794,34.98684478
망덕포구 내,노외,4200,50,무료,선소리 812-68,127.7605907,34.97636174
매화로주변,노외,4300,65,무료,선소리 140-2,127.7585815,34.97930495
선소마을 내,노외,553,19,무료,선소리 203-4,127.7588595,34.97786365
망덕리 845-62외5,노외,744,62,무료,망덕리 845-62,127.7585083,34.9725704
봉강면 조령리 838,노외,1251,68,무료,봉강면 조령리 838,127.5724099,35.08692332
봉강면 조령리 산173-15,노외,590,50,무료,봉강면 조령리 산173-15,127.5672596,35.08124323
봉강면 조령리 822-2,노외,3031,73,무료,봉강면 조령리 822-2,127.5646627,35.07914604
농협시지부 옆,임시,,42,무료,읍내 287,127.5866619,34.97508013
매화마을 앞,임시,,42,무료,구산 768-4,127.5800508,34.98311879
개성주차장 앞,임시,,7,무료,목성 721-4,127.5915616,34.9734155
개성마을,임시,,11,무료,목성729-1,127.5918643,34.97314256
시계탑 4거리 위,임시,,15,무료,인동 387,127.5881252,34.97454856
상아아파트 앞,임시,,12,무료,칠성 951-9,127.5788103,34.97106189
목성 성황길,임시,,28,무료,목성799,127.5903748,34.97701647
인서 평화빌라 앞,임시,,10,무료,칠성 568,127.5829598,34.97006874
소방파출소 앞,임시,,20,무료,인서 471-1,127.5854741,34.96871826
5일시장 주변,임시,,21,무료,목성 680-1,127.5918865,34.97160139
제일교광양교회인근,임시,,25,무료,칠성리 908-11,127.5830896,34.96886623
광주은행 앞,임시,,6,무료,인서리 8-3,127.5870123,34.97455934
인서리 478-2,임시,448,18,무료,인서리 478-2,127.5826461,34.96803651
칠성리 1000-10,임시,809,37,무료,칠성리 1000-10,127.5820152,34.97763156
농협중부지점 옆,임시,,31,무료,읍내 364-3,127.5854007,34.97437384
칠성리 896-7,임시,,14,무료,칠성리 896-7,127.5853425,34.979462
칠성리 194-3,임시,207,7,무료,칠성리 194-3,127.584016,34.9774999
구산리 768-7,임시,545,16,무료,구산리 768-7,127.580404,34.98266259
구산리 829-1,임시,1890,34,무료,구산리 829-1,127.5755321,34.97710286
한우명가 옆,임시,1890,56,무료,구산리 790-8,127.5764998,34.98007891
덕례리 1737-20,임시,,30,무료,덕례리 1737-20,127.5778804,34.96357808
덕례리 1681-2,임시,,23,무료,덕례리 1681-2,127.568579,34.96492415
덕례리 1681-9,임시,,23,무료,덕례리 1681-9,127.5687936,34.9648732
광양읍 덕례리 1735-12,임시,583,24,무료,광양읍 덕례리 1735-12,127.5768189,34.9639535
광양읍 덕례리 1734-15,임시,301,12,무료,광양읍 덕례리 1734-15,127.5759356,34.96407408
광양읍 덕례리 1734-18,임시,34449,14,무료,광양읍 덕례리 1734-18,127.5762657,34.96387607
기아자동차 옆,임시,207,7,무료,기아자동차 옆 중동 1346-5,127.6948963,34.94510211
중동 1777-1,임시,,13,무료,중동 1777-1,127.698869,34.93223863
중동 1703-5,임시,,11,무료,중동 1703-5,127.6978005,34.94903907
중동 1766-7,임시,,18,무료,중동 1766-7,127.7009312,34.93398598
길호공유수면 매립지내,임시,235,15,무료,중동1879-5,127.6990928,34.92725289
중동 1864-10,임시,228,11,무료,중동 1864-10,127.6988209,34.93166671
중동 1761-4,임시,146,7,무료,중동 1761-4,127.6990043,34.93506472
중동 1770-7,임시,250,12,무료,중동 1770-7,127.7001098,34.93356877
중동 1766-12,임시,304,14,무료,중동 1766-12,127.7001379,34.93399335
중동 1758-11,임시,501,24,무료,중동 1758-11,127.6995307,34.93551752
중동 1775-9,임시,497,24,무료,중동 1775-9,127.6989815,34.93256512
중동1770-2,임시,231,11,무료,중동1770-2,127.7009169,34.93371565
중동 1770-11,임시,229,11,무료,중동 1770-11,127.7007552,34.93370741
중동 1611-6,임시,230,11,무료,중동 1611-6,127.6906065,34.93811528
중동 1621-4,임시,236,11,무료,중동 1621-4,127.6926278,34.93814807
중동 1621-7,임시,231,11,무료,중동 1621-7,127.6926267,34.93799275
중동 1621-9,임시,231,11,무료,중동 1621-9,127.6923298,34.93799459
중동 1621-10,임시,230,12,무료,중동 1621-10,127.692164,34.93798662
중동 1626-0,임시,621,30,무료,중동 1626,127.693492,34.93800771
중동 1761-2,임시,141,19,무료,중동 1761-2,127.6990036,34.93530919
중동 1761-3,임시,235,19,무료,중동 1761-3,127.6990054,34.93518751
중동 1403-9,임시,221,9,무료,중동 1403-9,127.6864079,34.94287931
중동 1757-8,임시,277,12,무료,중동 1757-8,127.7006989,34.93551062
중동 1773-2,임시,279,13,무료,중동 1773-2,127.6997752,34.93331343
중동 1812-12,임시,1204,35,무료,중동 1812-12,127.6974453,34.92750079
중동 1397-4,임시,215,10,무료,중동 1397-4,127.6879121,34.94236833
중동 1379-1,임시,258,12,무료,중동 1379-1,127.6868271,34.94216201
중동 1764-18,임시,300,12,무료,중동 1764-18,127.700153,34.93500805
마동 1164-1,임시,399,16,무료,마동 1164-1,127.7093956,34.93962893
마동 1163-8,임시,471,19,무료,마동 1163-8,127.7092078,34.93939027
송보아파트 부근 임시,임시,,303,무료,마동 1059,127.6913943,34.95307583
신혼방 옆,임시,,10,무료,광영동 763-4,127.7166393,34.96361346
광은교회 위,임시,,10,무료,광영동 763-11,127.7168058,34.96336927
불개미식당 옆,임시,,8,무료,광영동 798-14,127.7218661,34.96241369
광영동 718-15,임시,,16,무료,광영동 718-15,127.7238633,34.96167086
청송조경 뒤,임시,,13,무료,광영동 729-13,127.7251813,34.9616549
케이엔텍 뒤,임시,,17,무료,광영동 725-13,127.7251802,34.96027667
광영동 729-14,임시,174,8,무료,광영동 729-14,127.7250514,34.96165776
광영동 776-1,임시,,10,무료,광영동 776-1,127.7191478,34.96522705
수변공원옆,임시,850,22,무료,태인동 1600-10,127.7599465,34.95921947
부암마을앞,피서지,713,40,무료,봉강 조령 429-4,127.5637717,35.0624297
하조마을뒤,피서지,3389,100,무료,봉강 조령 820-1,127.5641247,35.07862328
성불계곡(Ⅰ),피서지,3210,100,무료,봉강 조령 838,127.5724099,35.08692332
성불계곡(Ⅱ),피서지,,52,무료,조령 산173-15,127.5672596,35.08124323
마시마을뒤,피서지,590,15,무료,봉강 구서 552-1,127.5668819,35.04202389
민속가든옆,피서지,720,30,무료,동곡리 446-2,127.6175272,35.06838061
논실마을입구,피서지,4702,135,무료,동곡리 1205-2,127.5992943,35.10153229
진 틀 입 구,피서지,1603,80,무료,동곡리 864,127.5963927,35.09324316
포석정위도로변,피서지,264,10,무료,동곡리 662-1,127.6048219,35.07921402
동곡산장옆,피서지,1212,60,무료,동곡리 549,127.6134168,35.07067277
하천첨주변,피서지,2381,96,무료,산남리 154-4,127.6117741,35.00275939
회계분교,피서지,2090,66,무료,진상 어치 1140,127.6747186,35.09238804
회두마을입구,피서지,827,30,무료,진상 어치 914,127.6761387,35.08999996
